loss,accuracy,val_loss,val_accuracy
1.863792777,0.32100001,1.976554513,0.315800011
1.441730261,0.477459997,1.767623067,0.443300009
1.248134971,0.54956001,1.454633713,0.523100019
1.11702168,0.602259994,1.292978168,0.574500024
1.002539754,0.646820009,1.159790874,0.620299995
0.928296149,0.671720028,1.299049616,0.563600004
0.865931928,0.699599981,1.145759106,0.617500007
0.82790482,0.714119971,0.774973214,0.735800028
0.77087456,0.731519997,1.082694292,0.657999992
0.729896903,0.749759972,0.882047951,0.710900009
0.685789764,0.764400005,0.912433684,0.713800013
0.662332892,0.772920012,0.673028231,0.769900024
0.643432379,0.779100001,0.88696897,0.716000021
0.612162709,0.789699972,0.777047336,0.750199974
0.586723447,0.799780011,0.628385246,0.791100025
0.556563854,0.807900012,0.841842949,0.735400021
0.54355675,0.812099993,0.703847229,0.776799977
0.544591784,0.81309998,0.825352073,0.7421
0.519447386,0.820819974,0.748210132,0.755599976
0.4945032,0.82911998,0.625498235,0.795700014
0.480660826,0.834980011,0.739854157,0.774500012
0.457729131,0.841920018,0.707018256,0.780300021
0.442250907,0.845560014,0.585299909,0.811100006
0.435271472,0.849479973,0.533967316,0.826300025
0.421871692,0.855920017,0.619775236,0.801199973
0.413109541,0.857079983,0.54891175,0.818300009
0.401281029,0.861559987,0.549087107,0.820500016
0.393014103,0.863300025,0.616684556,0.799000025
0.389907748,0.867120028,0.621795118,0.805899978
0.371972352,0.871940017,0.58484751,0.8204
0.367152303,0.873820007,0.593456686,0.815400004
0.355880618,0.878620028,0.487536579,0.84009999
0.347705066,0.882059991,0.497099966,0.839600027
0.349366903,0.880159974,0.514867067,0.837800026
0.343431264,0.882120013,0.540726364,0.830600023
0.330195576,0.885760009,0.663458586,0.795700014
0.325665027,0.887639999,0.511278152,0.83890003
0.320089638,0.890240014,0.499991119,0.84799999
0.309307069,0.892740011,0.461964697,0.853399992
0.300812781,0.89538002,0.480699986,0.853299975
0.292823166,0.900640011,0.477834582,0.852100015
0.288587779,0.900579989,0.588142037,0.821399987
0.284828544,0.900399983,0.417674601,0.864499986
0.281942606,0.903159976,0.442580432,0.860599995
0.277797312,0.903039992,0.447930425,0.859300017
0.272858858,0.905239999,0.464413911,0.854499996
0.268731147,0.906459987,0.486457288,0.853399992
0.259787112,0.909080029,0.469033897,0.857800007
0.255740434,0.910359979,0.525064886,0.846599996
0.256848544,0.91148001,0.490147203,0.854499996
0.247832701,0.913720012,0.454375356,0.85619998
0.245696887,0.914479971,0.475520372,0.853699982
0.24431473,0.915499985,0.433737159,0.869300008
0.236967936,0.919019997,0.437376231,0.863200009
0.23671639,0.917980015,0.441964209,0.867299974
0.226152331,0.921679974,0.406674892,0.873199999
0.225094646,0.921720028,0.429250151,0.866400003
0.224077761,0.923300028,0.490948349,0.855799973
0.220079184,0.924920022,2.197213173,0.720899999
0.23468101,0.919459999,0.442327648,0.869000018
0.213407233,0.926119983,0.421094388,0.873300016
0.210389018,0.927020013,0.453779429,0.863399982
0.207968548,0.928520024,0.450659513,0.862200022
0.208189845,0.928420007,0.41995284,0.875199974
0.203918949,0.930040002,0.512523174,0.853200018
0.203439236,0.928139985,0.380756915,0.887700021
0.197127342,0.931140006,0.57684958,0.842400014
0.193944141,0.933499992,0.45202148,0.862699986
0.212856576,0.925939977,0.445780277,0.867399991
0.19746013,0.930419981,0.431009471,0.870700002
0.190936446,0.93434,0.420388579,0.87650001
0.192635506,0.932879984,0.423034459,0.874100029
0.182069868,0.936020017,0.513206363,0.860800028
0.179424763,0.938359976,0.434606344,0.879299998
0.180403396,0.937520027,0.425189495,0.87440002
0.177908361,0.938459992,0.432110935,0.870599985
0.176157832,0.938199997,0.551047981,0.846899986
0.175493032,0.939580023,0.507456005,0.856899977
0.172765836,0.939580023,0.458303899,0.873300016
0.167767942,0.941380024,0.441396624,0.87529999
0.169985309,0.940519989,0.447373241,0.87379998
0.165201634,0.941579998,0.446085304,0.879199982
0.163817436,0.942799985,0.4444336,0.871299982
0.227378845,0.925800025,0.897468448,0.745100021
0.238753945,0.918120027,0.396208286,0.877200007
0.173227876,0.940060019,0.418446869,0.880599976
0.156072319,0.945940018,0.40787667,0.88410002
0.152949661,0.947480023,0.352198482,0.896899998
0.149572864,0.948119998,0.401064545,0.888199985
0.147504449,0.948080003,0.468942374,0.871399999
0.147410586,0.94915998,0.423950136,0.876699984
0.144732386,0.94976002,0.406814426,0.879899979
0.144318327,0.950540006,0.433722258,0.882300019
0.144169375,0.949000001,0.393702954,0.886300027
0.143210202,0.949720025,0.453497797,0.871999979
0.144647449,0.950339973,0.454133093,0.873099983
0.144928381,0.950339973,0.381787807,0.891700029
0.141301423,0.950879991,0.493584275,0.868099988
0.137799487,0.951799989,0.421086341,0.882399976
0.142228529,0.950200021,0.448827207,0.880299985
0.138086855,0.952480018,0.390215337,0.889800012
0.138453931,0.951479971,0.471434027,0.875400007
0.134066164,0.953620017,0.489169538,0.871500015
0.133359835,0.953299999,0.462794006,0.872500002
0.198149174,0.937699974,0.565546095,0.840200007
0.175519764,0.939660013,0.445448637,0.879299998
0.137037367,0.952459991,0.387403578,0.89289999
0.128539309,0.955460012,0.378202885,0.895099998
0.125228852,0.956640005,0.435776025,0.885200024
0.128456607,0.956080019,0.469254106,0.881900012
0.170560494,0.941200018,0.414841443,0.885800004
0.127378479,0.956359982,0.434919029,0.888700008
0.126244858,0.956200004,0.417355657,0.888100028
0.122668132,0.957799971,0.423045158,0.887799978
0.119973034,0.958500028,0.435383409,0.884000003
0.120986976,0.957899988,0.425103813,0.88410002
0.120763652,0.958440006,0.501659989,0.870199978
0.122201711,0.958519995,0.410061091,0.89349997
0.11703679,0.959519982,0.400204211,0.896600008
0.117430545,0.960200012,0.407514662,0.890100002
0.118715361,0.958459973,0.53896904,0.857299984
0.120137423,0.95826,0.428331256,0.888899982
0.119293682,0.958540022,0.484038025,0.878000021
0.117592216,0.958980024,0.478806108,0.872300029
0.109502509,0.963100016,0.454632163,0.881900012
0.221288204,0.927259982,0.443706393,0.872200012
0.134818688,0.952979982,0.392837167,0.893899977
0.115081936,0.959959984,0.41466856,0.888499975
0.10916011,0.962419987,0.383582115,0.903500021
0.103515066,0.964739978,0.376277924,0.900699973
